form_record_id,Bear #,Capture ID,WGI ID,Species,Sex,Age Estimate,Tooth Age,Weight (kg),Bear Photo,Capture Reason,Date and Time,Surveyors,Location (address),Location (latitude),Location (longitude),Location,Location comments,Capture Type,Drug Used,Total Volume (ml),ZT Dose (mg),ZT Dose missed (mg),Drug Comments,Other Bears at Site?,Site Comments,Trap Wounds?,Trap Wound Comments,Other Wounds?,Other Wound Comments,Collar Brand,Collar Color,Collar Frequency,Collar Number,Freq & Number Picture,Rot off comments,Blow off pre-programmed?,Expected blow/rot off date,Rot off photo,L Ear Tag #,L Ear Tag Color,R Ear Tag #,R Ear Tag Color,Tag Picture,Neck Size,Snout to Vent Length (natural contours),Snout to Vent Length (straight line),Zoo Length,Chest Girth,Zygomatic Width,Nipples used before?,Lactating?,Nipple Length,Nipple Diameter,Missing Toes?,Teeth Photos,Bear Comments,Percent Body Fat (grizzly only),SV Resistance,Capture Samples,Collar Fate Info,Collar End Date,End Reason,Fate unknown?,Comment
rec-a5ab51f95ab94c9da3bf0df273ab9b57,EVGF112,EVGF112,,Grizzly Bear,F,0,,,MelissaAndCOYs_16Oct2020.jpg,Management,2020-10-16 11:12 AM,"Clayton Lamb, Jeff Piwek, Trish Burley","49.938760,-114.909916",,,,"4100 Hwy 43, at a farm.",Free Range,Telazol ,,450,0,This bear had been free range darted by COS before Clayton arrived. The 450 mg Zoletil recorded above was the 0.9 vial top up that Clayton gave this bear to keep it asleep so it could be moved into a culvert.,Yes,"Her mum (Melissa, EVGF73) was caught here in a culvert and collared, and her sibling (EVGF111) was free range darted and ear tagged.",No,,No,,,,,,,,No,,,4500,Yellow,4489,Yellow,,,,,,,,No,No,,,No,MelissaAndCOYs_16Oct2020.jpg; IMG_5943.jpg,"HWCR20-22694. One of Melissa’s 2 female COYs. Due to time constraints, no body measurements were taken. All three bears were translocated to the top of the Alexander drainage, NE of Podrasky cabin.",,,,,,,No,
rec-be20333c8bde440db872149cf202048e,EVGF111,EVGF111,,Grizzly Bear,F,0,,,MelissaAndCOYs_16Oct2020.jpg,Management,2020-10-16 11:12 AM,"Clayton Lamb, Jeff Piwek, Trish Burley","49.938760,-114.909916",,,,"4100 Hwy 43, at a farm.",Free Range,Telazol ,,450,0,This bear had been free range darted by COS before Clayton arrived. The 450 mg Zoletil recorded above was the 0.9 vial top up that Clayton gave this bear to keep it asleep so it could be moved into a culvert.,Yes,"Her mum (Melissa, EVGF73) was caught here in a culvert and collared, and her sibling (EVGF112) was free range darted and ear tagged.",No,,No,,,,,,,,No,,,4496,Yellow,4490,Yellow,,,,,,,,No,No,,,No,MelissaAndCOYs_16Oct2020.jpg; IMG_5939.jpg,"HWCR20-22694. One of Melissa’s 2 female COYs. Due to time constraints, no body measurements were taken. All three bears were translocated to the top of the Alexander drainage, NE of Podrasky cabin.",,,,,,,No,
rec-ce9d493090b241f3bc6d86e67fe78749,EVGF73,Melissa,cl-Melissa,Grizzly Bear,F,7,,,IMG_8610.jpg; IMG_5913.jpeg; IMG_5963.jpeg; IMG_8603.jpg; IMG_8602.jpg; IMG_5948.jpeg; IMG_5949.jpeg,Management,2020-10-16 11:12 AM,"Clayton Lamb, Jeff Piwek, Trish Burley","East Kootenay A BC, Canada",49.938760,-114.909916,"East Kootenay A BC, Canada [49.938760,-114.909916]","4100 Hwy 43, at a farm.",Culvert,Telazol ,,1000,0,We used 2 vials of Zoletil on Melissa.,Yes,"Melissa had 2 COYs (both female) with her. Melissa was caught in the culvert overnight, then her COYs were free ranged in the morning by COS.",Yes,"Minimal - one broken (and bloody) front claw. Most of her other claws were partially broken and worn down, but weren’t bloody. ",No,,Vectronic,Black,150.520,39689,,"Vectronic 4 layer (2 x 3 ply, but cut 2 layers in half). Collar programmed to blow off in just over a year. Drop off ID is 13871.",Yes,2021-10-16,,73,Black,73,Black,IMG_5948.jpeg,,,,,,,Yes,Yes,,,No,IMG_8610.jpg; IMG_5913.jpeg; IMG_5963.jpeg; IMG_8603.jpg; IMG_8602.jpg; IMG_5948.jpeg; IMG_5949.jpeg; IMG_5951.jpeg; IMG_5952.jpeg,"HWCR20-22694. Melissa had been breaking into the chicken coop and grain shed, and she had been bugging horses. A male with 3 legs was shot at (and we think not actually hit, or at least not killed) at this property the same morning that Melissa was caught in the culvert. We did not weigh her, take body measurements, or measure fat due to time constraints. Melissa looked very healthy and sufficiently fat (she had a similar feel to a 25-30% fat bear). This bear was relocated, with her two female COYs, to the top of Alexander drainage, NE of Podrasky cabin.",,,,,,,No,
rec-695b72bc35564fcdbaf096df958eb736,EVGM110,Stu,,Grizzly Bear,M,20,,201,26A1DAC4-E13A-4F2D-A754-9BA45FA5FD78.jpg; 576770D3-BA4A-4B83-9625-90A97E4AA771.jpg; 4629BB7C-8C51-4A96-BFD7-058B7F018825.jpg,Research,2020-09-27 8:25 AM,"Clayton Lamb, Laura Smit",,49.657259,-114.729519," [49.657259,-114.729519]",Alexander Gun Range ,Leg Snare,XZT,4,800,0,First dart (2.2 ml XZT) hit front right shoulder at 8:27 am. Second dart (1.2 ml XZT) hit back of front left arm at 8:35 am. Topped up by hand with 0.6 ml XZT at 9:00 am because he wasn’t fully down.,No,"Caught in Clayton’s snare, Laura’s snare was still set. ",Yes,"Caught on his front left foot. Good catch, a little bit high, but no damage to the skin. He ripped off the outside claw on his snared foot. He had cracked his bottom left nub of a canine.",No,,Follow It,Black,151.460,6006,B48A75D7-F548-4DE9-BD38-80613FC86BDC.jpg,Laura 2 layer with waterproof treatment. Pre-programmed to blow off in 2 years.,Yes,2022-09-27,EC6B8B3A-4AFD-44BE-93AF-6417DEC37F53.jpg,110,Black,110,Black,120CB7D8-BAD2-4B32-BE80-389972EC7AB4.jpg,70,194,172,,122,22.2,No,No,,,No,47EC264C-B0C4-4823-BCFC-242F7A4D0C34.jpg,"His temperature stayed steady at 38.5 degrees C. His teeth are terrible (almost no incisors, and all canines are broken and worn down). Left ear has two tears in it, so he might have once had an ear tag. ",27.40675319567391,93,,,,,No,
rec-a44646cb1d4849c58500a180a4e0eee4,EVGM80,Tim,11513,Grizzly Bear,M,16,16,260,FE224CD4-B577-4110-8F39-0EBBFBE2F73F.jpg; 31B1DE2C-CE33-4769-AB4B-11233BBF745E.jpg; A3DBB367-78BD-48EC-86DD-0CBDA5D84D18.jpg,Research,2020-09-26 3:45 PM,"Clayton Lamb, Laura Smit",,49.602758,-114.945853," [49.602758,-114.945853]",Hosmer (NCC),Leg Snare,XZT,5,1000,0,"First dart (3.2 ml XZT) hit on left side high on shoulder / neck at 3:52 pm. He was still head up after 10 minutes, so we topped up by hand with 0.8 ml XZT, then another 1 ml XZT.",No,"Caught in Clayton’s snare, and Laura’s snare had been sprung. He was in the snare for a long time, but was very calm in the snare and had done almost no damage to the site. He didn’t trigger any photos.",Yes,"He had chewed the pad of his left foot (the snared foot). It was an open wound, but it wasn’t bleeding. We wrapped it in a clean cloth and attached it with medical tape. This is the same foot he was caught on in May 2018 when he chewed off three of his toes.",Yes,"He had a small puncture wound with purulent discharge on the top of his head, and an old scar on his nose. He is missing three toes on his front left foot because he chewed them off when he was snared in May 2018.",Follow It,Black,150.820,6277,A09BB4AA-D835-4E9F-B0CD-30685816E09C.jpg,Laura 2 layer with waterproof treatment. Pre-programmed to blow off in 2 years.,Yes,2022-09-26,89D0B9D2-18C1-4F0C-A30C-CAC4CEA481F6.jpg,,,80,Black,31043781-E297-4FF1-B0D4-87C158C972FA.jpg,77,,,,,,No,No,,,Yes,D04B0B01-58F4-4900-AB1B-63DEF5569468.jpg; 58E7AD57-F25D-4853-A837-89B255218972.jpg,"We didn’t take many measurements because he had been in the snare for longer than we like and we wanted to expedite the process and get him reversed as soon as possible. Couldn’t get him totally away from the tree when weighing him, but we think 260 kg is close. He only ever had 1 ear tag, and he kept it for two years, so we decided to leave him with only one ear tag.",,,,,,,No,
rec-2602f48d89b4422cb64b4e33ec60a233,EVGF109,Esme ,,Grizzly Bear,F,8,,118,4FC52B10-1671-4D31-BEE2-9CEF940CBB17.jpg; 12322A64-F748-41D4-ADC4-418D4AD7B751.jpg; 504B5B87-DCF6-4ADB-8FD4-B461B7606A6A.jpg,Research,2020-09-25 9:45 AM,"Clayton Lamb, Laura Smit, Ryan Gordon",,49.675155,-114.785021," [49.675155,-114.785021]",Michel Fish Hole ,Leg Snare,XZT,4,800,0,"First dart (2.2 ml XZT) hit at 9:55 am, back on the rump. Bear was still up on all fours after 10 minutes (dart might have hit a bunch of fat). Hand injected (1.8 ml) at 10:20 am. Went down well. Reversed at 11:25 am.",Yes,"Caught in Laura’s snare, and Clayton’s snare was sprung. One of her offspring (we think a 2YO) was loose and fierce (bluff charged Clayton and Ryan after they had darted Esme). She completely wrecked the site and chewed 4 large trees (none fell over).",Yes,"She was caught well on her front right foot. Once the snare was loosened off, she started bleeding from a small puncture created by the lock on the snare. We put pressure on it with a cloth and taped the cloth on (and left it there when we reversed her). ",No,,Follow It,Black,150.760,6275,F7829EBF-63F3-418B-8438-F067B62CC224.jpg,Laura 2 layer with waterproof treatment. Pre-programmed to blow off in 2 years. ,Yes,2022-09-25,887B85E3-00F9-4054-962B-126415BF39C4.jpg,109,Black,109,Black,13CE2CC8-0B4E-4707-AF66-50B398962F3E.jpg,58,173,159,,95,19.2,Yes,No,,,No,1651ED50-5C2F-480B-88A0-D924CC4F8AC1.jpg,"Her neck skin was a bit loose, as if she were once fatter.",22.70794630579117,117,,,,,No,
rec-9078cb49be534246bbffc81686ccc2f9,EVGM108,EVGM108,,Grizzly Bear,M,1,,64,330A7C4A-DD5F-4B08-8588-7FA44AAB69DA.jpg,Research,2020-09-25 7:37 AM,"Laura Smit, Clayton Lamb",,49.355655,-115.000695," [49.355655,-115.000695]",Morrissey (NCC Meadow),Leg Snare,XZT,1,200,0,"First dart 1.0 ml XZT hit in neck at 7:42 am. Bear down hard in 1 minute. Reversed at 8:50 am, but he was already coming out of the drug a bit. ",Yes,"Caught in Laura’s snare. Mom (Kathy, EVGF66) was caught in Clayton’s snare. ",No,,No,,,,,,,,No,,,108,Black,108,Black,216217EE-14EB-46F2-A277-635EE8FEE37D.jpg; 539DC07D-5B00-4F73-A9A9-67D6F42F6182.jpg,,,,,,,No,No,,,No,5218B356-6085-4454-8438-09B09EA67474.jpg; 4BC4D7E8-C665-4B0E-8371-4914297C491D.jpg,Did not take a tooth because he was waking up. Did not take measurements because we had two bears waiting for us at Michel Fish Hole site.,,,,,,,No,
rec-fd19273fee1d4600b16765a8a14c6cc1,EVGF66,Kathy,cl-Kathy,Grizzly Bear,F,14,14,122.7,77E7F50C-7006-478E-9C50-F70DF8BB3C5E.jpg; 232806A1-08FC-4231-AF78-AB7A6BFED3E9.jpg,Research,2020-09-25 7:31 AM,"Clayton Lamb, Laura Smit",,49.355659,-115.000675," [49.355659,-115.000675]",Morrissey (NCC Meadow),Leg Snare,XZT,2.2,440,0,First dart 2.2 ml XZT hit at 7:44 am. Bear was down in about 5 minutes. Reversed at 8:50 am.,Yes,Caught in Clayton’s snare. Her yearling (EVGM108) was caught in Laura’s snare. ,No,"Caught on front right foot. Good catch, no broken skin.",Yes,She is missing all of her toes on her right foot from an old injury (it has been completely healed for several years).,Vectronic,Black,150.150,42578,,"Vectronic 5 layer (2 x 3 ply, with 1 layer cut). Pre-programmed to blow off in 2.25 years. Drop off ID is 15507.",Yes,2022-12-25,D5742DA5-1396-4BF5-B854-869E746E70E7.jpg,66,Black,66,Black,42034886-D292-4E98-8FED-0120E8F6C789.jpg; 0AB183DB-00B7-433C-8DFA-1918C57CD857.jpg,59,163,149,,99,20.4,Yes,Yes,,,Yes,545A83B0-5465-4061-BF15-2D463FB1918C.jpg,,29.91419868903711,117,,,,,No,
rec-9021e6adc3b1421b9fcd07c052e98e5e,EVGF107,Ada,,Grizzly Bear,F,6,,139,E0F5A7CB-DBA4-4226-B100-C0449CD3F41A.jpg,Research,2020-09-23 8:19 AM,"Clayton Lamb, Laura Smit",,49.657985,-114.903376," [49.657985,-114.903376]",Hosmer Overpass,Leg Snare,XZT,,1025,0,"First dart (375 mg Zoletil, mixed as XZT) hit high on left rump at 8:18 am. Bear pulled it out quickly. She was wide awake after 20 minutes, so hit her with a second dart (1.7 ml XZT = 350 mg Zoletil) high on right shoulder at 8:39 am. Bear was down in about 5 minutes. Topped up by hand with 1.6 ml XZT (300 mg Zoletil) because she was quickly coming out of the drug. Reversed with 2.6 ml atipamezole. She was up and gone within 2.5 hours.",No,Bear caught in Clayton’s snare. Laura’s snare was still set. The bear was pretty wild in the snare and had chewed down some small trees. She broke the pan off the trap.,Yes,"She was caught on her front left foot. Good catch, no broken skin. Her gums were a bit bloody because she had chewed so much wood, and she had a small puncture would on the back of her head (likely from when she was thrashing around in the snare), but otherwise she was in good shape.",No,,Vectronic,Black,150.190,42581,186B8572-EF86-478A-A01E-C0ED1B0D42FA.jpg,"Vectronic 6 layer (2 x 3 ply), pre-programmed to blow off in 4 years, and were comfortable with that timing. Drop off ID is 15504.",Yes,2024-09-23,C92E0564-BB92-4E33-9622-9ADD8F76A826.jpg,107,Black,107,Black,4FB0AFF0-FAD9-4D8B-BA63-7146B65C9B12.jpg; 51E3D327-0FBE-4602-99B0-4F9DCA6D399D.jpg,61,180,154,,103.5,18.8,No,No,,,No,E519D518-7283-4B46-B221-BD2DE6794D82.jpg,"We think she’s an adult female who hasn’t had cubs yet. We put her collar on quite tight (we tried it a half hole looser, but she would have been able to get it over her head). She won’t likely get much fatter this year, and she has lots of fur on her neck (that will wear off), so after lots of thought we were happy with her collar tightness.",27.83837594792876,119,,,,,No,
rec-0aed2603bafd4f60b4e75dc279fca5ef,EVGM86,Chandler,148,Grizzly Bear,M,17,17,211,D23E145C-CEFD-45EF-8D7F-C182255B2404.jpg; ABDFA4B2-1B82-4298-AB06-EE02397BD3BD.jpg,Research,2020-09-21 8:35 AM,"Clayton Lamb, Laura Smit",,49.682056,-114.888117," [49.682056,-114.888117]",District of Sparwood,Leg Snare,XZT,,1000,0,"First dart (500 mg Zoletil, mixed with 1.3 ml X as XZT) hit high on his right chest at 8:37 am. Bear was still head up after 15 minutes. Second dart (500 mg Zoletil, mixed with 1.3 ml X as XZT) hit his rump at 9:00 am. Bear well down well in about 5 minutes.",No,"Chandler was caught in Clayton’s snare, Laura’s snare was not sprung. He was very easy on the site and hardly tore it up. ",No,Caught on front right foot. No broken skin. Very minor rubbing. Good catch. ,No,,Vectronic,Black,150.230,42579,88F1D1E7-634A-4BB9-B5D7-9E1339E04A79.jpg,"Vectronic 4 layer, pre-programmed to blow off in 2.25 years, and we are comfortable with that. Drop off ID is 15505.",Yes,2022-12-21,36A113FF-E751-48AE-9D0A-7122755C0A17.jpg,86,Black,86,Black,A6D4EBAA-FFB1-40AF-AC94-F45381EF5B0E.jpg; FFF92981-FAA0-44A8-B0F5-7B1B6C299483.jpg,74,197,179,206,119,23.6,No,No,,,No,4E9FF721-BF59-45D8-9C13-83E55E4F72A9.jpg,"Bear was VERY calm in the snare (he was laying down when we arrived and only stood up when Clayton walked in to dart him), so we were sure we had caught him before. He weighs much less than when we caught him in Sept 2018 (he was 268 kg then, and we couldn’t even get him off the ground). He has lots of loose flesh around his neck, like a deflated balloon. We fit the collar in a half hole - just tight enough that he won’t be able to get it over his head. We don’t anticipate that he will ever be bigger than he is currently.",25.77485044596195,88,,,,,No,
