form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-c4f7124efec945b2beb0f1ebeeb2507d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a5ab51f95ab94c9da3bf0df273ab9b57,Hair,,,cl-EV268
rec-b2bb76cc3ebf498b996b4ea56ef5e3ab,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-be20333c8bde440db872149cf202048e,Hair,,,cl-EV267
rec-aeb77fb981f74543bd7cc822e7516178,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ce9d493090b241f3bc6d86e67fe78749,Hair,1687,,cl-EV265
rec-6a536fb8f4884b7087ef57b27ee03e36,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-ce9d493090b241f3bc6d86e67fe78749,Tooth,1686,,cl-EV266
rec-df78a6fa583d49b0a3a7224e821e9341,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-695b72bc35564fcdbaf096df958eb736,Hair,14724,,cl-EV261
rec-1e01a7f9fe9f4cd09e2c38ba422a280b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-695b72bc35564fcdbaf096df958eb736,Hair,14725,,cl-EV262
rec-bf38252c19d147f397e5b14ef78ce657,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-695b72bc35564fcdbaf096df958eb736,Tissue,14726,,cl-EV263
rec-6aff72ce94654e739fb7856b0ff66bdc,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-695b72bc35564fcdbaf096df958eb736,Tooth,14727,,cl-EV264
rec-d4c3e7148c554dc697314676e7c8c1da,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a44646cb1d4849c58500a180a4e0eee4,Hair,1603,,cl-EV259
rec-a1e8f7d6666d40e0bfc59b909f622d22,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a44646cb1d4849c58500a180a4e0eee4,Hair,1613,,cl-EV260
rec-c38a75448a2a4d2983fa7b31c793cdbe,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Hair,14691,,cl-EV255
rec-02fc1004b2424b82844cf39acb244c93,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Hair,14706,,cl-EV256
rec-af18e25ace8d473eb22e5371e16149d8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Tissue,14722,,cl-EV257
rec-a53f4784f9e94b3f954de3479b7c601b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Tooth,14723,,cl-EV258
rec-1c9d118ee83941ea952492ab8a91260d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9078cb49be534246bbffc81686ccc2f9,Hair,1610,,cl-EV252
rec-5dd16022102e4dd0a695dde6c6cafc2e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9078cb49be534246bbffc81686ccc2f9,Hair,1611,,cl-EV253
rec-33ac3a54e2b0447eab02feeda5a02821,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9078cb49be534246bbffc81686ccc2f9,Tissue,1609,,cl-EV254
rec-d6c0078e36ed4717a21f4b986fbc5428,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-fd19273fee1d4600b16765a8a14c6cc1,Hair,1606,,cl-EV250
rec-1ee322a311144a10827bcf35b012d6d1,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-fd19273fee1d4600b16765a8a14c6cc1,Hair,1607,,cl-EV251
rec-94b2f4bc38df40e0b8b165431de60cb7,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Hair,14677,,cl-EV246
rec-a3b121e4bd42400a89ec90004016065d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Hair,14678,,cl-EV247
rec-87d0139252ad417f9f116f5796d6641b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Tissue,14679,,cl-EV248
rec-d93e9e6be8d747c183d42c98ea28bb3b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Tooth,14680,,cl-EV249
rec-8de586a00705407397ad2a78155af447,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-0aed2603bafd4f60b4e75dc279fca5ef,Hair,1612,,cl-EV244
rec-d36d41d3bb7748c9951ec6bef1a4343c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-0aed2603bafd4f60b4e75dc279fca5ef,Hair,1614,,cl-EV245
rec-d7de4b8e032b4fd88cf6350671370483,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-e9c2294f640742eabf5895d39b8fa453,Hair,1618,,cl-EV240
rec-46f188680d764f8ab46738d68473000c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-e9c2294f640742eabf5895d39b8fa453,Hair,1617,,cl-EV241
